sim_t,pos,vel,state,cmd_exact,cmd_lo,cmd_hi
402.239000,0.030000,-0.000000,unrailed,0.030000,,
402.240000,0.030000,0.000000,unrailed,0.030000,,
402.241000,0.030000,-0.000000,unrailed,0.030000,,
402.242000,0.030000,0.000000,unrailed,0.030000,,
402.243000,0.030000,-0.000000,unrailed,0.030000,,
402.244000,0.030000,0.000000,unrailed,0.030000,,
402.245000,0.030000,-0.000000,unrailed,0.030000,,
402.246000,0.030000,0.000000,unrailed,0.030000,,
402.247000,0.030000,-0.000000,unrailed,0.030000,,
402.248000,0.030000,0.000000,unrailed,0.030000,,
402.249000,0.030000,-0.000000,unrailed,0.030000,,
402.250000,0.030000,0.000000,unrailed,0.030000,,
402.251000,0.030000,-0.000000,unrailed,0.030000,,
402.252000,0.030000,0.000000,unrailed,0.030000,,
402.253000,0.030000,-0.000000,unrailed,0.030000,,
402.254000,0.030000,0.000000,unrailed,0.030000,,
402.255000,0.030000,-0.000000,unrailed,0.030000,,
402.256000,0.030000,0.000000,unrailed,0.030000,,
402.257000,0.030000,-0.000000,unrailed,0.030000,,
402.258000,0.030000,0.000000,unrailed,0.030000,,
402.259000,0.030000,-0.000000,unrailed,0.030000,,
402.260000,0.030000,0.000000,unrailed,0.030000,,
402.261000,0.030000,-0.000000,unrailed,0.030000,,
402.262000,0.030000,0.000000,unrailed,0.030000,,
402.263000,0.030000,-0.000000,unrailed,0.030000,,
402.264000,0.030000,0.000000,unrailed,0.030000,,
402.265000,0.030000,-0.000000,unrailed,0.030000,,
402.266000,0.030000,0.000000,unrailed,0.030000,,
402.267000,0.030000,-0.000000,unrailed,0.030000,,
402.268000,0.030000,0.000000,unrailed,0.030000,,
402.269000,0.030000,-0.000000,unrailed,0.030000,,
402.270000,0.030000,0.000000,unrailed,0.030000,,
402.271000,0.030000,-0.000000,unrailed,0.030000,,
402.272000,0.030000,0.000000,unrailed,0.030000,,
402.273000,0.030000,-0.000000,unrailed,0.030000,,
402.274000,0.030000,0.000000,unrailed,0.030000,,
402.275000,0.030000,-0.000000,unrailed,0.030000,,
402.276000,0.030000,0.000000,unrailed,0.030000,,
402.277000,0.030000,-0.000000,unrailed,0.030000,,
402.278000,0.030000,0.000000,unrailed,0.030000,,
402.279000,0.030000,-0.000000,unrailed,0.030000,,
402.280000,0.030000,0.000000,unrailed,0.030000,,
402.281000,0.030000,-0.000000,unrailed,0.030000,,
402.282000,0.030000,0.000000,unrailed,0.030000,,
402.283000,0.030000,-0.000000,unrailed,0.030000,,
402.284000,0.030000,0.000000,unrailed,0.030000,,
402.285000,0.030000,-0.000000,unrailed,0.030000,,
402.286000,0.030000,0.000000,unrailed,0.030000,,
402.287000,0.030000,-0.000000,unrailed,0.030000,,
402.288000,0.030000,0.000000,unrailed,0.030000,,
402.289000,0.030000,-0.000000,unrailed,0.030000,,
402.290000,0.030000,0.000000,unrailed,0.030000,,
402.291000,0.030000,-0.000000,unrailed,0.030000,,
402.292000,0.030000,0.000000,unrailed,0.030000,,
402.293000,0.030000,-0.000000,unrailed,0.030000,,
402.294000,0.030000,0.000000,unrailed,0.030000,,
402.295000,0.030000,-0.000000,unrailed,0.030000,,
402.296000,0.030000,0.000000,unrailed,0.030000,,
402.297000,0.030000,-0.000000,unrailed,0.030000,,
402.298000,0.030000,0.000000,unrailed,0.030000,,
402.299000,0.030000,-0.000000,unrailed,0.030000,,
402.300000,0.030000,0.000000,unrailed,0.030000,,
402.301000,0.030000,-0.000000,unrailed,0.030000,,
402.302000,0.030000,0.000000,unrailed,0.030000,,
402.303000,0.030000,-0.000000,unrailed,0.030000,,
402.304000,0.030000,0.000000,unrailed,0.030000,,
402.305000,0.030000,-0.000000,unrailed,0.030000,,
402.306000,0.030000,0.000000,unrailed,0.030000,,
402.307000,0.030000,-0.000000,unrailed,0.030000,,
402.308000,0.030000,0.000000,unrailed,0.030000,,
402.309000,0.030000,-0.000000,unrailed,0.030000,,
402.310000,0.030000,0.000000,unrailed,0.030000,,
402.311000,0.030000,-0.000000,unrailed,0.030000,,
402.312000,0.030000,0.000000,unrailed,0.030000,,
402.313000,0.030000,-0.000000,unrailed,0.030000,,
402.314000,0.030000,0.000000,unrailed,0.030000,,
402.315000,0.030000,-0.000000,unrailed,0.030000,,
402.316000,0.030000,0.000000,unrailed,0.030000,,
402.317000,0.030000,-0.000000,unrailed,0.030000,,
402.318000,0.030000,0.000000,unrailed,0.030000,,
402.319000,0.030000,-0.000000,unrailed,0.030000,,
402.320000,0.030000,0.000000,unrailed,0.030000,,
402.321000,0.030000,-0.000000,unrailed,0.030000,,
402.322000,0.030000,0.000000,unrailed,0.030000,,
402.323000,0.030000,-0.000000,unrailed,0.030000,,
402.324000,0.030000,0.000000,unrailed,0.030000,,
402.325000,0.030000,-0.000000,unrailed,0.030000,,
402.326000,0.030000,0.000000,unrailed,0.030000,,
402.327000,0.030000,-0.000000,unrailed,0.030000,,
402.328000,0.030000,0.000000,unrailed,0.030000,,
402.329000,0.030000,-0.000000,unrailed,0.030000,,
402.330000,0.030000,0.000000,unrailed,0.030000,,
402.331000,0.030000,-0.000000,unrailed,0.030000,,
402.332000,0.030000,0.000000,unrailed,0.030000,,
402.333000,0.030000,-0.000000,unrailed,0.030000,,
402.334000,0.030000,0.000000,unrailed,0.030000,,
402.335000,0.030000,-0.000000,unrailed,0.030000,,
402.336000,0.030000,0.000000,unrailed,0.030000,,
402.337000,0.030000,-0.000000,unrailed,0.030000,,
402.338000,0.030000,0.000000,unrailed,0.030000,,
402.339000,0.030000,-0.000000,unrailed,0.030000,,
402.340000,0.030000,0.000000,unrailed,0.030000,,
402.341000,0.030000,-0.000000,unrailed,0.030000,,
402.342000,0.030000,0.000000,unrailed,0.030000,,
402.343000,0.030000,-0.000000,unrailed,0.030000,,
402.344000,0.030000,0.000000,unrailed,0.030000,,
402.345000,0.030000,-0.000000,unrailed,0.030000,,
402.346000,0.030000,0.000000,unrailed,0.030000,,
402.347000,0.030000,-0.000000,unrailed,0.030000,,
402.348000,0.030000,0.000000,unrailed,0.030000,,
402.349000,0.030000,-0.000000,unrailed,0.030000,,
402.350000,0.030000,0.000000,unrailed,0.030000,,
402.351000,0.030000,-0.000000,unrailed,0.030000,,
402.352000,0.030000,0.000000,unrailed,0.030000,,
402.353000,0.030000,-0.000000,unrailed,0.030000,,
402.354000,0.030000,0.000000,unrailed,0.030000,,
402.355000,0.030000,-0.000000,unrailed,0.030000,,
402.356000,0.030000,0.000000,unrailed,0.030000,,
402.357000,0.030000,-0.000000,unrailed,0.030000,,
402.358000,0.030000,0.000000,unrailed,0.030000,,
402.359000,0.030000,-0.000000,unrailed,0.030000,,
402.360000,0.030000,0.000000,unrailed,0.030000,,
402.361000,0.030000,-0.000000,unrailed,0.030000,,
402.362000,0.030000,0.000000,unrailed,0.030000,,
402.363000,0.030000,-0.000000,unrailed,0.030000,,
402.364000,0.030000,0.000000,unrailed,0.030000,,
402.365000,0.030000,-0.000000,unrailed,0.030000,,
402.366000,0.030000,0.000000,unrailed,0.030000,,
402.367000,0.030000,-0.000000,unrailed,0.030000,,
402.368000,0.030000,0.000000,unrailed,0.030000,,
402.369000,0.030000,-0.000000,unrailed,0.030000,,
402.370000,0.030000,0.000000,unrailed,0.030000,,
402.371000,0.030000,-0.000000,unrailed,0.030000,,
402.372000,0.030000,0.000000,unrailed,0.030000,,
402.373000,0.030000,-0.000000,unrailed,0.030000,,
402.374000,0.030000,0.000000,unrailed,0.030000,,
402.375000,0.030000,-0.000000,unrailed,0.030000,,
402.376000,0.030000,0.000000,unrailed,0.030000,,
402.377000,0.030000,-0.000000,unrailed,0.030000,,
402.378000,0.030000,0.000000,unrailed,0.030000,,
402.379000,0.030000,-0.000000,unrailed,0.030000,,
402.380000,0.030000,0.000000,unrailed,0.030000,,
402.381000,0.030000,-0.000000,unrailed,0.030000,,
402.382000,0.030000,0.000000,unrailed,0.030000,,
402.383000,0.030000,-0.000000,unrailed,0.030000,,
402.384000,0.030000,0.000000,unrailed,0.030000,,
402.385000,0.030000,-0.000000,unrailed,0.030000,,
402.386000,0.030000,0.000000,unrailed,0.030000,,
402.387000,0.030000,-0.000000,unrailed,0.030000,,
402.388000,0.030000,0.000000,unrailed,0.030000,,
402.389000,0.030000,-0.000000,unrailed,0.030000,,
402.390000,0.030000,0.000000,unrailed,0.030000,,
402.391000,0.030000,-0.000000,unrailed,0.030000,,
402.392000,0.030000,0.000000,unrailed,0.030000,,
402.393000,0.030000,-0.000000,unrailed,0.030000,,
402.394000,0.030000,0.000000,unrailed,0.030000,,
402.395000,0.030000,-0.000000,unrailed,0.030000,,
402.396000,0.030000,0.000000,unrailed,0.030000,,
402.397000,0.030000,-0.000000,unrailed,0.030000,,
402.398000,0.030000,0.000000,unrailed,0.030000,,
402.399000,0.030000,-0.000000,unrailed,0.030000,,
402.400000,0.030000,0.000000,unrailed,0.030000,,
402.401000,0.030000,-0.000000,unrailed,0.030000,,
402.402000,0.030000,0.000000,unrailed,0.030000,,
402.403000,0.030000,-0.000000,unrailed,0.030000,,
402.404000,0.030000,0.000000,unrailed,0.030000,,
402.405000,0.030000,-0.000000,unrailed,0.030000,,
402.406000,0.030000,0.000000,unrailed,0.030000,,
402.407000,0.030000,-0.000000,unrailed,0.030000,,
402.408000,0.030000,0.000000,unrailed,0.030000,,
402.409000,0.030000,-0.000000,unrailed,0.030000,,
402.410000,0.030000,0.000000,unrailed,0.030000,,
402.411000,0.030000,-0.000000,unrailed,0.030000,,
402.412000,0.030000,0.000000,unrailed,0.030000,,
402.413000,0.030000,-0.000000,unrailed,0.030000,,
402.414000,0.030000,0.000000,unrailed,0.030000,,
402.415000,0.030000,-0.000000,unrailed,0.030000,,
402.416000,0.030000,0.000000,unrailed,0.030000,,
402.417000,0.030000,-0.000000,unrailed,0.030000,,
402.418000,0.030000,0.000000,unrailed,0.030000,,
402.419000,0.030000,-0.000000,unrailed,0.030000,,
402.420000,0.030000,0.000000,unrailed,0.030000,,
402.421000,0.030000,-0.000000,unrailed,0.030000,,
402.422000,0.030000,0.000000,unrailed,0.030000,,
402.423000,0.030000,-0.000000,unrailed,0.030000,,
402.424000,0.030000,0.000000,unrailed,0.030000,,
402.425000,0.030000,-0.000000,unrailed,0.030000,,
402.426000,0.030000,0.000000,unrailed,0.030000,,
402.427000,0.030000,-0.000000,unrailed,0.030000,,
402.428000,0.030000,0.000000,unrailed,0.030000,,
402.429000,0.030000,-0.000000,unrailed,0.030000,,
402.430000,0.030000,0.000000,unrailed,0.030000,,
402.431000,0.030000,-0.000000,unrailed,0.030000,,
402.432000,0.030000,0.000000,unrailed,0.030000,,
402.433000,0.030000,-0.000000,unrailed,0.030000,,
402.434000,0.030000,0.000000,unrailed,0.030000,,
402.435000,0.030000,-0.000000,unrailed,0.030000,,
402.436000,0.030000,0.000000,unrailed,0.030000,,
402.437000,0.030000,-0.000000,unrailed,0.030000,,
402.438000,0.030000,0.000000,unrailed,0.030000,,
402.439000,0.030000,-0.000000,unrailed,0.030000,,
402.440000,0.030000,0.000000,unrailed,0.030000,,
402.441000,0.030000,-0.000000,unrailed,0.030000,,
402.442000,0.030000,0.000000,unrailed,0.030000,,
402.443000,0.030000,-0.000000,unrailed,0.030000,,
402.444000,0.030000,0.000000,unrailed,0.030000,,
402.445000,0.030000,-0.000000,unrailed,0.030000,,
402.446000,0.030000,0.000000,unrailed,0.030000,,
402.447000,0.030000,-0.000000,unrailed,0.030000,,
402.448000,0.030000,0.000000,unrailed,0.030000,,
402.449000,0.030000,-0.000000,unrailed,0.030000,,
402.450000,0.030000,0.000000,unrailed,0.030000,,
402.451000,0.030000,-0.000000,unrailed,0.030000,,
402.452000,0.030000,0.000000,unrailed,0.030000,,
402.453000,0.030000,-0.000000,unrailed,0.030000,,
402.454000,0.030000,0.000000,unrailed,0.030000,,
402.455000,0.030000,-0.000000,unrailed,0.030000,,
402.456000,0.030000,0.000000,unrailed,0.030000,,
402.457000,0.030000,-0.000000,unrailed,0.030000,,
402.458000,0.030000,0.000000,unrailed,0.030000,,
402.459000,0.030000,-0.000000,unrailed,0.030000,,
402.460000,0.030000,0.000000,unrailed,0.030000,,
402.461000,0.030000,-0.000000,unrailed,0.030000,,
402.462000,0.030000,0.000000,unrailed,0.030000,,
402.463000,0.030000,-0.000000,unrailed,0.030000,,
402.464000,0.030000,0.000000,unrailed,0.030000,,
402.465000,0.030000,-0.000000,unrailed,0.030000,,
402.466000,0.030000,0.000000,unrailed,0.030000,,
402.467000,0.030000,-0.000000,unrailed,0.030000,,
402.468000,0.030000,0.000000,unrailed,0.030000,,
402.469000,0.030000,-0.000000,unrailed,0.030000,,
402.470000,0.030000,0.000000,unrailed,0.030000,,
402.471000,0.030000,-0.000000,unrailed,0.030000,,
402.472000,0.030000,0.000000,unrailed,0.030000,,
402.473000,0.030000,-0.000000,unrailed,0.030000,,
402.474000,0.030000,0.000000,unrailed,0.030000,,
402.475000,0.030000,-0.000000,unrailed,0.030000,,
402.476000,0.030000,0.000000,unrailed,0.030000,,
402.477000,0.030000,-0.000000,unrailed,0.030000,,
402.478000,0.030000,0.000000,unrailed,0.030000,,
402.479000,0.030000,-0.000000,unrailed,0.030000,,
402.480000,0.030000,0.000000,unrailed,0.030000,,
402.481000,0.030000,-0.000000,unrailed,0.030000,,
402.482000,0.030000,0.000000,unrailed,0.030000,,
402.483000,0.030000,-0.000000,unrailed,0.030000,,
402.484000,0.030000,0.000000,unrailed,0.030000,,
402.485000,0.030000,-0.000000,unrailed,0.030000,,
402.486000,0.030000,0.000000,unrailed,0.030000,,
402.487000,0.030000,-0.000000,unrailed,0.030000,,
402.488000,0.030000,0.000000,unrailed,0.030000,,
402.489000,0.030000,-0.000000,unrailed,0.030000,,
402.490000,0.030000,0.000000,unrailed,0.030000,,
402.491000,0.030000,-0.000000,unrailed,0.030000,,
402.492000,0.030000,0.000000,unrailed,0.030000,,
402.493000,0.030000,-0.000000,unrailed,0.030000,,
402.494000,0.030000,0.000000,unrailed,0.030000,,
402.495000,0.030000,-0.000000,unrailed,0.030000,,
402.496000,0.030000,0.000000,unrailed,0.030000,,
402.497000,0.030000,-0.000000,unrailed,0.030000,,
402.498000,0.030000,0.000000,unrailed,0.030000,,
402.499000,0.030000,-0.000000,unrailed,0.030000,,
402.500000,0.030000,0.000000,unrailed,0.030000,,
402.501000,0.030000,-0.000000,unrailed,0.030000,,
402.502000,0.030000,0.000000,unrailed,0.030000,,
402.503000,0.030000,-0.000000,unrailed,0.030000,,
402.504000,0.030000,0.000000,unrailed,0.030000,,
402.505000,0.030000,-0.000000,unrailed,0.030000,,
402.506000,0.030000,0.000000,unrailed,0.030000,,
402.507000,0.030000,-0.000000,unrailed,0.030000,,
402.508000,0.030000,0.000000,unrailed,0.030000,,
402.509000,0.030000,-0.000000,unrailed,0.030000,,
402.510000,0.030000,0.000000,unrailed,0.030000,,
402.511000,0.030000,-0.000000,unrailed,0.030000,,
402.512000,0.030000,0.000000,unrailed,0.030000,,
402.513000,0.030000,-0.000000,unrailed,0.030000,,
402.514000,0.030000,0.000000,unrailed,0.030000,,
402.515000,0.030000,-0.000000,unrailed,0.030000,,
402.516000,0.030000,0.000000,unrailed,0.030000,,
402.517000,0.030000,-0.000000,unrailed,0.030000,,
402.518000,0.030000,0.000000,unrailed,0.030000,,
402.519000,0.030000,-0.000000,unrailed,0.030000,,
402.520000,0.030000,0.000000,unrailed,0.030000,,
402.521000,0.030000,-0.000000,unrailed,0.030000,,
402.522000,0.030000,0.000000,unrailed,0.030000,,
402.523000,0.030000,-0.000000,unrailed,0.030000,,
402.524000,0.030000,0.000000,unrailed,0.030000,,
402.525000,0.030000,-0.000000,unrailed,0.030000,,
402.526000,0.030000,0.000000,unrailed,0.030000,,
402.527000,0.030000,-0.000000,unrailed,0.030000,,
402.528000,0.030000,0.000000,unrailed,0.030000,,
402.529000,0.030000,-0.000000,unrailed,0.030000,,
402.530000,0.030000,0.000000,unrailed,0.030000,,
402.531000,0.030000,-0.000000,unrailed,0.030000,,
402.532000,0.030000,0.000000,unrailed,0.030000,,
402.533000,0.030000,-0.000000,unrailed,0.030000,,
402.534000,0.030000,0.000000,unrailed,0.030000,,
402.535000,0.030000,-0.000000,unrailed,0.030000,,
402.536000,0.030000,0.000000,unrailed,0.030000,,
402.537000,0.030000,-0.000000,unrailed,0.030000,,
402.538000,0.030000,0.000000,unrailed,0.030000,,
402.539000,0.030000,-0.000000,unrailed,0.030000,,
402.540000,0.030000,0.000000,unrailed,0.030000,,
402.541000,0.030000,-0.000000,unrailed,0.030000,,
402.542000,0.030000,0.000000,unrailed,0.030000,,
402.543000,0.030000,-0.000000,unrailed,0.030000,,
402.544000,0.030000,0.000000,unrailed,0.030000,,
402.545000,0.030000,-0.000000,unrailed,0.030000,,
402.546000,0.030000,0.000000,unrailed,0.030000,,
